Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
57147aa19fdf68cb36e2c05d8c4d51caddbb2ce02127ea5fc66e1570ee29f758,2023-07,Lincolnshire Police,Lincolnshire Police,-0.774275,53.393014,On or near King Street East,E01026383,West Lindsey 004E,Suspect charged
1d42f979d87fa151519407e91ed12cb49a492e67645d48b5be3d1f197a7a39de,2023-07,Lincolnshire Police,Lincolnshire Police,-0.058063,52.970883,On or near Shopping Area,E01034683,Boston 009E,Suspect charged
1d42f979d87fa151519407e91ed12cb49a492e67645d48b5be3d1f197a7a39de,2023-07,Lincolnshire Police,Lincolnshire Police,-0.058063,52.970883,On or near Shopping Area,E01034683,Boston 009E,Suspect charged
4406edcf3fa05c186f5625c89ed73b005f59c6cb72d0e2b1767f2eef62ad2170,2023-07,Lincolnshire Police,Lincolnshire Police,0.343471,53.142416,On or near Theme/Adventure Park,E01026093,East Lindsey 014B,Suspect charged
4406edcf3fa05c186f5625c89ed73b005f59c6cb72d0e2b1767f2eef62ad2170,2023-07,Lincolnshire Police,Lincolnshire Police,0.343471,53.142416,On or near Theme/Adventure Park,E01026093,East Lindsey 014B,Suspect charged
9cd0a2472c2ca27689c2995e155d33fd67c845b10712e7ba2529975d15135125,2023-07,Lincolnshire Police,Lincolnshire Police,-0.021425,52.972885,On or near A1138,E01026025,Boston 003C,Offender given a caution
d147ae8cebfe0b302bd1cfc1d6870a9ff6617a20c12a98ba3ea83405e104c789,2023-07,Lincolnshire Police,Lincolnshire Police,-0.573659,53.205737,On or near Sansford Green,E01026173,Lincoln 010D,Investigation complete; no suspect identified
0e4706a4952a17692880146721cba43c31e17ab9fc2f28c06e4fc9708edfe3c7,2023-07,Lincolnshire Police,Lincolnshire Police,-0.530970,53.233356,On or near Upper Lindum Street,E01026122,Lincoln 004A,Unable to prosecute suspect
cef09cb82212edefb51837c54fb3f75f64a9eaf4083f600e353e682c765ecff3,2023-07,Lincolnshire Police,Lincolnshire Police,-0.573659,53.205737,On or near Sansford Green,E01026173,Lincoln 010D,Investigation complete; no suspect identified
cef09cb82212edefb51837c54fb3f75f64a9eaf4083f600e353e682c765ecff3,2023-07,Lincolnshire Police,Lincolnshire Police,-0.573659,53.205737,On or near Sansford Green,E01026173,Lincoln 010D,Investigation complete; no suspect identified
a19207425a75695d83f24388ab26103bcdfac1f2b082a5c556a5fdcdee2b60ca,2023-07,Lincolnshire Police,Lincolnshire Police,-0.641320,52.911690,On or near Elmer Street South,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
013b75301931bb11c68a55255d041fc0f58b1d2e1ef6c27364c0fbc6bc780a29,2023-07,Lincolnshire Police,Lincolnshire Police,-0.166346,53.105183,On or near Lamyman Drive,E01026051,East Lindsey 016A,Unable to prosecute suspect
7f458b84e98d95512010ecbe0b6a42be9d6a399037c45ee01e6add07fb80f41d,2023-07,Lincolnshire Police,Lincolnshire Police,-0.573605,53.191137,On or near Lincoln Road,E01026220,North Kesteven 013A,Investigation complete; no suspect identified
2889e59b7aef3bb91ea9b6106ec621fef82a23e198cefc874b7cf50e9783c711,2023-07,Lincolnshire Police,Lincolnshire Police,-0.564890,53.202680,On or near Sports/Recreation Area,E01026170,Lincoln 010B,Investigation complete; no suspect identified
2889e59b7aef3bb91ea9b6106ec621fef82a23e198cefc874b7cf50e9783c711,2023-07,Lincolnshire Police,Lincolnshire Police,-0.564890,53.202680,On or near Sports/Recreation Area,E01026170,Lincoln 010B,Investigation complete; no suspect identified
56ab839644af4a7e913657ea6c31497dbfbb9a63a39c4bc99b9b8b8bc6e91897,2023-07,Lincolnshire Police,Lincolnshire Police,0.339180,53.143514,On or near Prince George Street,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
56ab839644af4a7e913657ea6c31497dbfbb9a63a39c4bc99b9b8b8bc6e91897,2023-07,Lincolnshire Police,Lincolnshire Police,0.339180,53.143514,On or near Prince George Street,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
e5afa72d7502f9d68c75191bf5d5cc904d11af0e45d919975bbee322c9246180,2023-07,Lincolnshire Police,Lincolnshire Police,-0.607587,53.218679,On or near Spirea Approach,E01026127,Lincoln 007A,Investigation complete; no suspect identified
e674b9d0f21ae675446b721d9df74ede117d6f344951d29a1a4395b82542a15f,2023-07,Lincolnshire Police,Lincolnshire Police,-0.535538,53.166178,On or near Mere Road,E01026185,North Kesteven 004B,Unable to prosecute suspect
9d68935925f9a81cec46b107f156d7acebfdb66089a8a8934b9f71899129ff76,2023-07,Lincolnshire Police,Lincolnshire Police,-0.017929,52.979948,On or near Foster Street,E01026025,Boston 003C,Unable to prosecute suspect
